Today,Delay,Choice,Mode
631,0.25,p,practice
631,6,q,practice
70,60,q,practice
1000,300,q,practice
1000,0.5,q,main
950,0.5,q,main
900,0.5,p,main
1,36,p,main
25,36,p,main
54,36,p,main
70,36,p,main
93,36,p,main
100,36,p,main
200,36,p,main
314,36,p,main
364,36,p,main
400,36,p,main
500,36,p,main
600,36,p,main
631,36,p,main
700,36,q,main
1000,300,q,main
950,300,q,main
900,300,q,main
850,300,q,main
800,300,q,main
748,300,q,main
700,300,q,main
631,300,q,main
600,300,q,main
500,300,q,main
400,300,q,main
364,300,q,main
314,300,q,main
200,300,q,main
100,300,q,main
93,300,q,main
70,300,q,main
54,300,q,main
25,300,p,main
1,12,p,main
25,12,p,main
54,12,p,main
70,12,p,main
93,12,p,main
100,12,p,main
200,12,p,main
314,12,p,main
364,12,p,main
400,12,p,main
500,12,p,main
600,12,p,main
631,12,q,main
1,3,p,main
25,3,p,main
54,3,p,main
70,3,p,main
93,3,p,main
100,3,p,main
200,3,p,main
314,3,p,main
364,3,p,main
400,3,p,main
500,3,p,main
600,3,p,main
631,3,p,main
700,3,p,main
748,3,q,main
1000,6,q,main
950,6,q,main
900,6,q,main
850,6,q,main
800,6,q,main
748,6,q,main
700,6,q,main
631,6,q,main
600,6,p,main
1000,6,q,main
950,6,q,main
900,6,q,main
850,6,q,main
800,6,q,main
748,6,q,main
700,6,q,main
631,6,q,main
600,6,q,main
500,6,p,main
1,60,p,main
25,60,p,main
54,60,p,main
70,60,p,main
93,60,p,main
100,60,q,main
1,0.25,p,main
25,0.25,p,main
54,0.25,p,main
70,0.25,p,main
93,0.25,p,main
100,0.25,p,main
200,0.25,p,main
314,0.25,p,main
364,0.25,p,main
400,0.25,p,main
500,0.25,p,main
600,0.25,p,main
631,0.25,p,main
700,0.25,p,main
748,0.25,p,main
800,0.25,p,main
850,0.25,p,main
900,0.25,p,main
950,0.25,q,main
1,120,p,main
25,120,p,main
54,120,p,main
70,120,p,main
93,120,p,main
100,120,q,main
1,300,p,main
25,300,q,main
1,60,q,main
25,60,p,main
1,0.5,p,main
25,0.5,p,main
54,0.5,p,main
70,0.5,p,main
93,0.5,p,main
100,0.5,p,main
200,0.5,p,main
314,0.5,p,main
364,0.5,p,main
400,0.5,p,main
500,0.5,p,main
600,0.5,p,main
631,0.5,p,main
700,0.5,p,main
748,0.5,p,main
800,0.5,p,main
850,0.5,p,main
900,0.5,q,main
1000,120,q,main
950,120,q,main
900,120,q,main
850,120,q,main
800,120,q,main
748,120,q,main
700,120,q,main
631,120,q,main
600,120,q,main
500,120,q,main
400,120,q,main
364,120,q,main
314,120,q,main
200,120,q,main
100,120,q,main
93,120,p,main
1000,36,q,main
950,36,q,main
900,36,q,main
850,36,q,main
800,36,q,main
748,36,q,main
700,36,q,main
631,36,q,main
600,36,q,main
500,36,p,main
1,3,p,main
25,3,p,main
54,3,p,main
70,3,p,main
93,3,p,main
100,3,p,main
200,3,p,main
314,3,p,main
364,3,p,main
400,3,p,main
500,3,p,main
600,3,p,main
631,3,p,main
700,3,p,main
748,3,p,main
800,3,p,main
850,3,p,main
900,3,q,main
1,12,p,main
25,12,p,main
54,12,p,main
70,12,p,main
93,12,p,main
100,12,p,main
200,12,p,main
314,12,p,main
364,12,p,main
400,12,p,main
500,12,p,main
600,12,p,main
631,12,p,main
700,12,p,main
748,12,q,main
1,1,p,main
25,1,p,main
54,1,p,main
70,1,p,main
93,1,p,main
100,1,p,main
200,1,p,main
314,1,p,main
364,1,p,main
400,1,p,main
500,1,p,main
600,1,p,main
631,1,p,main
700,1,p,main
748,1,p,main
800,1,p,main
850,1,p,main
900,1,p,main
950,1,p,main
1000,1,p,main
1000,1,p,main
950,1,p,main
900,1,p,main
850,1,q,main
1,0.25,p,main
25,0.25,p,main
54,0.25,p,main
70,0.25,p,main
93,0.25,p,main
100,0.25,p,main
200,0.25,p,main
314,0.25,p,main
364,0.25,p,main
400,0.25,p,main
500,0.25,p,main
600,0.25,p,main
631,0.25,p,main
700,0.25,p,main
748,0.25,p,main
800,0.25,p,main
850,0.25,p,main
900,0.25,p,main
950,0.25,q,main
